ExpID,SiteID,ID,CollectionIN,site_name,date,province,nation,geologic_unit,sample_type,lat,long,alt,trench,temp,ph,spc,salinity,r_ra,rc_ra,he4_w,he4_g,co2_4he,co2_3he,he3,he3_he4,co2,co2_d13,ch4,ch4_d13,ch4_D,D13CH3,whiticar_class
CR17,QN,QNS,QN170220,Quebrada naranja - Don Tobias,02/20/17,Active volcanic arc,Costa_Rica,Volcanic rocks,sediment,10.495573,-84.696714,429,173.6816697,22.9,5.6,196.7,0.17,3.15,4.89,,5.163198032,217000,40700000000,0.0000226,0.00000438,926.4,-2.76,64.67717,-28.5,-126.6,1.76,TM
CR18,RC,RCF,RC180404,Ujarassa,04/04/18,Cordillera Talamanca,Costa_Rica,Volcanic rocks,fluid,9.30283,-83.29782,943,138.8277399,60,7.7,2600,2.83,,,,,,,,,777.6269,-13.2298,4.367896,,,,
CR18,RC,RCS,RC180404,Ujarassa,04/04/18,Cordillera Talamanca,Costa_Rica,Volcanic rocks,sediment,9.30283,-83.29782,943,138.8277399,60,7.7,2600,2.83,,,,,,,,,777.6269,-13.2298,4.367896,,,,
CR18,RR,RRF,RR180407,"""Rockslide""",04/07/18,Cordillera Talamanca,Panama,Volcanic rocks,fluid,8.63591,-82.22369,792,,41.3,NA,2332,2.51,,,,,,,,,0,,0.028655,,,,
CR18,RR,RFS,RR180407,"""Rockslide""",04/07/18,Cordillera Talamanca,Panama,Volcanic rocks,sediment,8.63591,-82.22369,792,,41.3,NA,2332,2.51,,,,,,,,,0,,0.028655,,,,
CR17,RS,RSF,RS170216,Ranchero etl Salitral,02/16/17,Costa Rica outer forearc,Costa_Rica,Quaternary deposits,fluid,10.232331,-85.531602,82,99.42969087,29.4,9.96,273.1,0.132,0.5,2.66,,,,,,0.000000691,0,,0.6938,,,,
CR17,RS,RSS,RS170216,Ranchero etl Salitral,02/16/17,Costa Rica outer forearc,Costa_Rica,Quaternary deposits,sediment,10.232331,-85.531602,82,99.42969087,29.4,9.96,273.1,0.132,0.5,2.66,,,,,,0.000000691,0,,0.6938,,,,
CR17,RV,RVF,RV170221,Recreo Verde,02/21/17,Active volcanic arc,Costa_Rica,Volcanic rocks,fluid,10.321576,-84.243686,557,175.8828566,42.7,6.19,45000,62.86,5.63,6.68,,0.576909531,1310000,219000000000,0.00000451,0.00000782,994.3,-4.8,0.00272,,,,
CR18,SC,SCF,SC180411,El Salao Campollano,04/11/18,Panama slab window,Panama,Volcanic rocks,fluid,8.15755,-81.13097,136,,29.9,6.5,40605,56.21,6.22,7.59,,0.007,,,0.0000000612,0.00000865,,,,,,,
CR18,SC,SCS,SC180411,El Salao Campollano,04/11/18,Panama slab window,Panama,Volcanic rocks,sediment,8.15755,-81.13097,136,,29.9,6.5,40605,56.21,6.22,7.59,,0.007,,,0.0000000612,0.00000865,,,,,,,
CR17,SI,SIF,SI170217,El Sitio,02/17/17,Costa Rica outer forearc,Costa_Rica,Quaternary deposits,fluid,10.301239,-85.610549,36,99.63642052,35.9,9.83,3469,1.818,0.49,0.39,,56.36498243,788,1740000000,0.0000384,0.000000682,123,,13.17,-62.6,-327.4,-0.59,MAM
CR17,SI,SIS,SI170217,El Sitio,02/17/17,Costa Rica outer forearc,Costa_Rica,Quaternary deposits,sediment,10.301239,-85.610549,36,99.63642052,35.9,9.83,3469,1.818,0.49,0.39,,56.36498243,788,1740000000,0.0000384,0.000000682,123,,13.17,-62.6,-327.4,-0.59,MAM
CR17,SL,SLF,SL170214,Santa Lucia,02/14/17,Active volcanic arc,Costa_Rica,Volcanic rocks,fluid,10.290599,-84.972435,165,140.3008679,57,6.12,2824,1.462,,3.84,,,,,,,,,,,,,
CR17,SL,SLS,SL170214,Santa Lucia,02/14/17,Active volcanic arc,Costa_Rica,Volcanic rocks,sediment,10.290599,-84.972435,165,140.3008679,57,6.12,2824,1.462,,3.84,,,,,,,,,,,,,
CR17,SM,SM,SM170216,Sabana Grande,02/16/17,Costa Rica outer forearc,Costa_Rica,Sedimentary rocks,,10.17741,-85.47971,173,97.88360607,31.8,9.25,310.5,,,,,,,,,,,,,,,,
CR17,SR,SR,SR170216,Salitral el Rincon,02/16/17,Costa Rica outer forearc,Costa_Rica,Ocean floor basalts,,10.253708,-85.683116,66,89.91705453,33,9.06,232,,0.86,,,,,,,,0,,75.33062,-61.5,-352.7,0.28,MAM
CR17,ST,STS,ST170223,Santa Theresa,02/23/17,Active volcanic arc,Costa_Rica,Volcanic rocks,sediment,10.002942,-83.827507,2209,164.1103975,55.8,4.51,2725,2.98,1.31,,,,,,,,187.3,,0.00442,,,,
CR17,TC1,TCF,TC170221,El Tucano bubbling site,02/21/17,Active volcanic arc,Costa_Rica,Volcanic rocks,fluid,10.366486,-84.381208,553,172.6685219,60,6.24,3500,1.835,6.51,6.57,,4.409207,94200,24000000000,0.0000399,0.00000905,965.4,-4.54,0.94095,,,,
CR17,TC2,TCS,TC170221_2,El Tucano under the bridge,02/21/17,Active volcanic arc,Costa_Rica,Volcanic rocks,sediment,10.366486,-84.381208,553,172.6685219,63.6,6.27,4064,4.6,,,,,,,,,,,,,,,
CR17,TR,TR,TR170221,Tajo Rojo,02/21/17,Active volcanic arc,Costa_Rica,Volcanic rocks,,10.45861,-84.34167,168,183.7926871,NA,NA,,,,,,,,,,,,,,,,,
CR17,VC,VCS,VC170218,Blue River Volcancito,02/18/17,Active volcanic arc,Costa_Rica,Volcanic rocks,sediment,10.897847,-85.326461,436,173.7954718,59.8,5,6132,7.19,6.79,6.88,,19.069,50100,5110000000,0.00018,0.00000943,925.1,-4.17,2.02196,,,,
CR18,XF,XFF,XF180416,Praxair well 19,04/16/18,Active volcanic backarc,Costa_Rica,Volcanic rocks,fluid,10.485523,-84.113229,74,199.4231703,28.9,7,,,7.59,7.62,,3.795,,,0.00004,0.0000106,,-3.5422275,,,,,
CR18,XF,XFS,XF180416,Praxair well 19,04/16/18,Active volcanic backarc,Costa_Rica,Volcanic rocks,sediment,10.485523,-84.113229,74,199.4231703,28.9,7,,,7.59,7.62,,3.795,,,0.00004,0.0000106,,-3.5422275,,,,,
CR18,YR,YRF,YR180404,Yheri,04/04/18,Cordillera Talamanca,Costa_Rica,Volcanic rocks,fluid,9.19492,-83.28059,469,129.4171387,26,8.9,4060,4.59,,2.87,,,,,,,,-19.3440025,,,,,
